start_datetime,end_datetime,start_timestamp,end_timestamp,marketprice,unit
2023-05-05T22:00:00+00:00,2023-05-05T23:00:00+00:00,1683324000000,1683327600000,106.71,Eur/MWh
2023-05-05T23:00:00+00:00,2023-05-06T00:00:00+00:00,1683327600000,1683331200000,99.62,Eur/MWh
2023-05-06T00:00:00+00:00,2023-05-06T01:00:00+00:00,1683331200000,1683334800000,95.71,Eur/MWh
2023-05-06T01:00:00+00:00,2023-05-06T02:00:00+00:00,1683334800000,1683338400000,91.7,Eur/MWh
2023-05-06T02:00:00+00:00,2023-05-06T03:00:00+00:00,1683338400000,1683342000000,89.93,Eur/MWh
2023-05-06T03:00:00+00:00,2023-05-06T04:00:00+00:00,1683342000000,1683345600000,91.7,Eur/MWh
2023-05-06T04:00:00+00:00,2023-05-06T05:00:00+00:00,1683345600000,1683349200000,97.2,Eur/MWh
2023-05-06T05:00:00+00:00,2023-05-06T06:00:00+00:00,1683349200000,1683352800000,99.02,Eur/MWh
2023-05-06T06:00:00+00:00,2023-05-06T07:00:00+00:00,1683352800000,1683356400000,95.13,Eur/MWh
2023-05-06T07:00:00+00:00,2023-05-06T08:00:00+00:00,1683356400000,1683360000000,93.28,Eur/MWh
2023-05-06T08:00:00+00:00,2023-05-06T09:00:00+00:00,1683360000000,1683363600000,82.53,Eur/MWh
2023-05-06T09:00:00+00:00,2023-05-06T10:00:00+00:00,1683363600000,1683367200000,74.42,Eur/MWh
2023-05-06T10:00:00+00:00,2023-05-06T11:00:00+00:00,1683367200000,1683370800000,71.16,Eur/MWh
2023-05-06T11:00:00+00:00,2023-05-06T12:00:00+00:00,1683370800000,1683374400000,55.76,Eur/MWh
2023-05-06T12:00:00+00:00,2023-05-06T13:00:00+00:00,1683374400000,1683378000000,50,Eur/MWh
2023-05-06T13:00:00+00:00,2023-05-06T14:00:00+00:00,1683378000000,1683381600000,63.16,Eur/MWh
2023-05-06T14:00:00+00:00,2023-05-06T15:00:00+00:00,1683381600000,1683385200000,74.64,Eur/MWh
2023-05-06T15:00:00+00:00,2023-05-06T16:00:00+00:00,1683385200000,1683388800000,90.3,Eur/MWh
2023-05-06T16:00:00+00:00,2023-05-06T17:00:00+00:00,1683388800000,1683392400000,102.49,Eur/MWh
2023-05-06T17:00:00+00:00,2023-05-06T18:00:00+00:00,1683392400000,1683396000000,107.82,Eur/MWh
2023-05-06T18:00:00+00:00,2023-05-06T19:00:00+00:00,1683396000000,1683399600000,111.68,Eur/MWh
2023-05-06T19:00:00+00:00,2023-05-06T20:00:00+00:00,1683399600000,1683403200000,108.71,Eur/MWh
2023-05-06T20:00:00+00:00,2023-05-06T21:00:00+00:00,1683403200000,1683406800000,103.12,Eur/MWh
2023-05-06T21:00:00+00:00,2023-05-06T22:00:00+00:00,1683406800000,1683410400000,92.38,Eur/MWh
2023-05-06T22:00:00+00:00,2023-05-06T23:00:00+00:00,1683410400000,1683414000000,95.79,Eur/MWh
